# persist.sys.fanctrl.by.temperatue=0, stock ladder disabled
epoch,step,phase,level_cmd,duty_cmd,adc,fan_rb,level_rb,led_status,pll,ddr,sar
1788607725,2,4:30,4,30,1610,30,4,1,49900,52000,46600
1788607726,2,4:30,4,30,1609,30,4,1,49600,51800,46500
1788607727,2,4:30,4,30,1609,30,4,1,50200,52300,46800
1788607729,2,4:30,4,30,1609,30,4,1,50300,52300,46700
1788607730,2,4:30,4,30,1611,30,4,1,50100,52000,46700
1788607731,2,4:30,4,30,1608,30,4,1,49900,52100,46500
1788607733,2,4:30,4,30,1609,30,4,1,50300,52200,46800
1788607734,2,4:30,4,30,1607,30,4,1,50000,52000,46700
1788607735,2,4:30,4,30,1613,30,4,1,50100,52100,46700
1788607736,2,4:30,4,30,1607,30,4,1,50000,52200,46800
1788607738,2,4:30,4,30,1610,30,4,1,50600,52600,46900
1788607739,2,4:30,4,30,1607,30,4,1,50100,52300,46700
1788607740,2,4:30,4,30,1606,30,4,1,49800,52000,46600
1788607742,2,4:30,4,30,1608,30,4,1,50000,52200,46800
1788607743,2,4:30,4,30,1607,30,4,1,49900,52200,46700
1788607744,2,4:30,4,30,1607,30,4,1,50100,52100,46700
1788607746,2,4:30,4,30,1607,30,4,1,50100,51900,46600
1788607747,2,4:30,4,30,1610,30,4,1,49700,52100,46600
1788607748,2,4:30,4,30,1606,30,4,1,50200,52400,46800
1788607749,2,4:30,4,30,1606,30,4,1,49800,52000,46600
1788607751,2,4:30,4,30,1608,30,4,1,49800,52000,46700
1788607752,2,4:30,4,30,1607,30,4,1,50200,52400,46800
1788607753,2,4:30,4,30,1609,30,4,1,50100,52700,46800
1788607755,2,4:30,4,30,1606,30,4,1,50200,52200,46700
1788607756,2,4:30,4,30,1605,30,4,1,49000,51500,46000
1788607757,2,4:30,4,30,1606,30,4,1,50200,51900,46600
1788607758,2,4:30,4,30,1607,30,4,1,50600,52400,46800
1788607760,2,4:30,4,30,1607,30,4,1,49900,52200,46700
1788607761,2,4:30,4,30,1609,30,4,1,49700,52100,46600
1788607762,2,4:30,4,30,1605,30,4,1,50200,52800,46700
1788607764,2,4:30,4,30,1606,30,4,1,50400,52200,46800
1788607765,2,4:30,4,30,1606,30,4,1,50000,51900,46600
1788607766,2,4:30,4,30,1607,30,4,1,50000,52100,46600
1788607767,2,4:30,4,30,1606,30,4,1,50200,52200,46800
1788607769,2,4:30,4,30,1607,30,4,1,50300,52300,46800
1788607770,2,4:30,4,30,1605,30,4,1,50100,52100,46700
1788607771,2,4:30,4,30,1607,30,4,1,50200,52000,46600
1788607773,2,4:30,4,30,1606,30,4,1,50500,52500,46900
1788607774,2,4:30,4,30,1605,30,4,1,49800,52700,46700
1788607775,2,4:30,4,30,1605,30,4,1,49900,52100,46800
1788607777,2,4:30,4,30,1605,30,4,1,49800,52000,46600
1788607778,2,4:30,4,30,1607,30,4,1,50400,52300,46900
1788607779,2,4:30,4,30,1606,30,4,1,50400,52500,47000
1788607780,2,4:30,4,30,1606,30,4,1,49900,52000,46700
1788607782,2,4:30,4,30,1607,30,4,1,50200,52400,46800
1788607783,2,4:30,4,30,1606,30,4,1,50200,52100,46800
1788607784,2,4:30,4,30,1608,30,4,1,49900,52100,46800
1788607786,2,4:30,4,30,1604,30,4,1,50100,52600,46800
1788607787,2,4:30,4,30,1606,30,4,1,50400,52300,46800
1788607788,2,4:30,4,30,1603,30,4,1,50000,52400,46800
1788607789,2,4:30,4,30,1605,30,4,1,50200,52600,46800
1788607791,2,4:30,4,30,1606,30,4,1,49900,52500,46700
1788607792,2,4:30,4,30,1605,30,4,1,50300,52500,46900
1788607793,2,4:30,4,30,1607,30,4,1,50200,52600,46900
1788607795,2,4:30,4,30,1604,30,4,1,50000,52100,46800
1788607796,2,4:30,4,30,1604,30,4,1,50000,51900,46800
1788607797,2,4:30,4,30,1595,30,4,1,50300,52300,46900
1788607799,2,4:30,4,30,1603,30,4,1,49900,51900,46700
1788607800,2,4:30,4,30,1606,30,4,1,50200,52300,46800
1788607801,2,4:30,4,30,1603,30,4,1,50200,52500,46900
1788607802,2,4:30,4,30,1605,30,4,1,50500,52700,46900
1788607804,2,4:30,4,30,1607,30,4,1,50300,52200,46800
1788607805,2,4:30,4,30,1605,30,4,1,50200,52300,46900
1788607806,2,4:30,4,30,1604,30,4,1,50200,52400,46800
1788607808,2,4:30,4,30,1605,30,4,1,50500,52400,46900
1788607809,2,4:30,4,30,1605,30,4,1,49900,51900,46800
1788607810,2,4:30,4,30,1604,30,4,1,50100,52000,46700
1788607811,2,4:30,4,30,1606,30,4,1,50000,52200,46600
1788607813,2,4:30,4,30,1607,30,4,1,50500,52900,46900
1788607814,2,4:30,4,30,1604,30,4,1,50400,52300,46900
1788607815,2,4:30,4,30,1603,30,4,1,50100,52000,46800
1788607817,2,4:30,4,30,1604,30,4,1,50400,52600,46800
1788607818,2,4:30,4,30,1602,30,4,1,50100,52300,46800
1788607819,2,4:30,4,30,1605,30,4,1,50000,52400,46700
1788607820,2,4:30,4,30,1605,30,4,1,49000,52400,46100
1788607822,2,4:30,4,30,1603,30,4,1,50500,52400,46900
1788607823,2,4:30,4,30,1605,30,4,1,50300,52200,46800
1788607824,2,4:30,4,30,1603,30,4,1,50000,52100,46700
1788607826,2,4:30,4,30,1609,30,4,1,49600,51800,46500
1788607827,2,4:30,4,30,1604,30,4,1,50000,52300,46800
1788607828,2,4:30,4,30,1603,30,4,1,50000,52000,46800
1788607829,2,4:30,4,30,1605,30,4,1,50000,52500,46700
1788607831,2,4:30,4,30,1606,30,4,1,49900,52100,46700
1788607832,2,4:30,4,30,1603,30,4,1,50500,52400,46900
1788607833,2,4:30,4,30,1606,30,4,1,50200,52600,47000
1788607835,2,4:30,4,30,1605,30,4,1,50000,52300,46800
1788607836,2,4:30,4,30,1603,30,4,1,49900,52300,46700
1788607837,2,4:30,4,30,1605,30,4,1,50300,52500,47100
1788607839,2,4:30,4,30,1607,30,4,1,49900,51900,46700
1788607840,2,4:30,4,30,1605,30,4,1,50200,52200,46800
1788607841,2,4:30,4,30,1604,30,4,1,50100,52200,46800
1788607843,2,4:30,4,30,1604,30,4,1,50300,52400,46900
1788607844,2,4:30,4,30,1606,30,4,1,50100,52700,46800
1788607845,2,4:30,4,30,1604,30,4,1,50000,52700,46700
1788607846,2,4:30,4,30,1605,30,4,1,50400,52400,46900
1788607848,2,4:30,4,30,1603,30,4,1,50500,52200,46900
1788607849,2,4:30,4,30,1604,30,4,1,50200,52600,46900
1788607850,2,4:30,4,30,1601,30,4,1,50300,52100,46800
1788607852,2,4:30,4,30,1602,30,4,1,50400,52300,46900
1788607853,2,4:30,4,30,1603,30,4,1,50800,52600,47100
1788607854,2,4:30,4,30,1603,30,4,1,50200,52200,46900
1788607855,2,4:30,4,30,1603,30,4,1,49900,52300,46700
1788607857,2,4:30,4,30,1605,30,4,1,50400,52900,46900
1788607858,2,4:30,4,30,1604,30,4,1,50300,53000,46900
